|6.6.6
gloss1di_1.tab                                                                                      
           1
n(H2O)  
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
n(H2O)         node#          Grt(JH)        Mica(CF)       Do(HP)         Omph(GHP)      COH-Fluid+     law            coe            pyr            M(HP)          ky            
  18.3000        184.000        35.3859        59.4202        4.32867        52.1964        3.39176        15.5776        100.000        4.32867        2.85740        2.85740     
  18.4000        185.000        35.4759        59.3704        4.36912        52.2514        3.43166        15.6160        100.000        4.36912        2.89610        2.89610     
  18.5000        186.000        35.5733        59.3203        4.40139        52.3055        3.46335        15.6574        100.000        4.40139        2.93039        2.93039     
  18.6000        187.000        35.6546        59.2747        4.44493        52.3648        3.50635        15.7072        100.000        4.44493        2.97233        2.97233     
  18.7000        188.000        35.7511        59.2265        4.46205        52.4133        3.52292        15.7548        100.000        4.46205        2.99587        2.99587     
  18.8000        189.000        35.8547        59.1781        4.50662        52.4710        3.56701        15.7973        100.000        4.50662        3.03004        3.03004     
  18.9000        190.000        35.9366        59.1311        4.54156        52.5287        3.60139        15.8470        100.000        4.54156        3.06838        3.06838     
  19.0000        191.000        36.0239        59.0835        4.59427        52.5877        3.65357        15.8887        100.000        4.59427        3.11318        3.11318     
  19.1000        192.000        36.1172        59.0311        4.62583        52.6406        3.68455        15.9248        100.000        4.62583        3.14775        3.14775     
  19.2000        193.000        36.1953        58.9837        4.68675        52.7003        3.74490        15.9649        100.000        4.68675        3.20090        3.20090     
  19.3000        194.000        36.3037        58.9283        4.69531        52.7488        3.75280        16.0028        100.000        4.69531        3.22192        3.22192     
  19.4000        195.000        36.3938        58.8834        4.74054        52.8100        3.79751        16.0566        100.000        4.74054        3.26100        3.26100     
  19.5000        196.000        36.4845        58.8373        4.76020        52.8679        3.81660        16.1167        100.000        4.76020        3.28828        3.28828     
  19.6000        197.000        36.5820        58.7914        4.81312        52.9293        3.86905        16.1656        100.000        4.81312        3.32836        3.32836     
  19.7000        198.000        36.6804        58.7390        4.84288        52.9828        3.89820        16.2046        100.000        4.84288        3.36035        3.36035     
  19.8000        199.000        36.7553        58.6925        4.91196        53.0448        3.96673        16.2461        100.000        4.91196        3.41841        3.41841     
  19.9000        200.000        36.8437        58.6382        4.94378        53.0969        3.99788        16.2794        100.000        4.94378        3.45680        3.45680     
  20.0000        201.000        36.9395        58.5866        4.97968        53.1521        4.03319        16.3193        100.000        4.97968        3.49260        3.49260     
  20.1000        202.000        37.0386        58.5406        4.97473        53.2038        4.02765        16.3871        100.000        4.97473        3.50622        3.50622     
  20.2000        203.000        37.1361        58.4972        5.06552        53.2715        4.11806        16.4307        100.000        5.06552        3.56323        3.56323     
  20.3000        204.000        37.2278        58.4407        5.07450        53.3203        4.12632        16.4671        100.000        5.07450        3.59054        3.59054     
  20.4000        205.000        37.3152        58.3954        5.12442        53.3829        4.17573        16.5206        100.000        5.12442        3.63361        3.63361     
  20.5000        206.000        37.4035        58.3454        5.17391        53.4413        4.22464        16.5614        100.000        5.17391        3.67848        3.67848     
  20.6000        207.000        37.5014        58.2918        5.20349        53.4950        4.25358        16.6002        100.000        5.20349        3.71186        3.71186     
  20.7000        208.000        37.5835        58.2436        5.26444        53.5559        4.31394        16.6427        100.000        5.26444        3.76435        3.76435     
  20.8000        209.000        37.6800        58.1892        5.28801        53.6042        4.33685        16.6788        100.000        5.28801        3.79558        3.79558     
  20.9000        210.000        37.7813        58.1402        5.30686        53.6615        4.35511        16.7354        100.000        5.30686        3.82015        3.82015     
  21.0000        211.000        37.8747        58.0964        5.34617        53.7254        4.39390        16.7997        100.000        5.34617        3.85524        3.85524     
  21.1000        212.000        37.9628        58.0504        5.41045        53.7891        4.45765        16.8485        100.000        5.41045        3.90733        3.90733     
  21.2000        213.000        38.0616        57.9954        5.43703        53.8422        4.48356        16.8861        100.000        5.43703        3.93974        3.93974     
  21.3000        214.000        38.1417        57.9475        5.50298        53.9048        4.54894        16.9292        100.000        5.50298        3.99557        3.99557     
  21.4000        215.000        38.2186        57.8952        5.55698        53.9626        4.60227        16.9647        100.000        5.55698        4.04937        4.04937     
  21.5000        216.000        38.3140        57.8401        5.58704        54.0162        4.63166        17.0013        100.000        5.58704        4.08521        4.08521     
  21.6000        217.000        38.4179        57.7897        5.59380        54.0724        4.63781        17.0607        100.000        5.59380        4.10382        4.10382     
  21.7000        218.000        38.5211        57.7454        5.63366        54.1368        4.67719        17.1247        100.000        5.63366        4.13540        4.13540     
  21.8000        219.000        38.6245        57.6952        5.67550        54.1963        4.71848        17.1718        100.000        5.67550        4.17084        4.17084     
  21.9000        220.000        38.6983        57.6475        5.74944        54.2605        4.79184        17.2140        100.000        5.74944        4.23340        4.23340     
  22.0000        221.000        38.7722        57.5952        5.80377        54.3158        4.84548        17.2489        100.000        5.80377        4.28997        4.28997     
  22.1000        222.000        38.8702        57.5392        5.83161        54.3696        4.87265        17.2858        100.000        5.83161        4.32425        4.32425     
